year,iso,pop,rgdpmad,xrusd,eq_tr,eq_capgain,eq_div_rtn
2000,JPN,126729,20480.951264994896,114.9,0.12054871767759323,0.11039787530899048,1.0150840505957603E-2
2001,JPN,126972,20499.907952727041,131.80000000000001,-0.21789491176605225,-0.22677624225616455,8.8813230395317078E-3
2002,JPN,127187,20516.849232535595,119.9,-0.16842016577720642,-0.17910955846309662,1.0689386166632175E-2
2003,JPN,127358,20832.997849900727,107.1,-4.5521926134824753E-2,-5.760018527507782E-2,1.2078255414962769E-2
2004,JPN,127480,21301.178248739659,104.12,0.25290080904960632,0.23916079103946686,1.3740020804107189E-2
2005,JPN,127537,21575.023474075475,117.97,0.15390020608901978,0.14151470363140106,1.2385500594973564E-2
2006,JPN,127515,21938.170592300474,118.95,0.27168712019920349,0.25844159722328186,1.3245530426502228E-2
2007,JPN,127433,22410.065610134494,114,2.6862125843763351E-2,1.4254465699195862E-2,1.2607661075890064E-2
2008,JPN,127288,22175.1244681219,90.75,-0.27346742153167725,-0.28725448250770569,1.3787062838673592E-2
2009,JPN,127147.44610468941,20963.200296560124,92.06,-0.24992184340953827,-0.26639747619628906,1.647561602294445E-2
2010,JPN,127190.31005857847,21934.903391345688,81.45,3.7754405289888382E-2,1.8259106203913689E-2,1.9495299085974693E-2
2011,JPN,127426.56022303669,21869.046776618248,77.72,-4.8242203891277313E-2,-6.7208722233772278E-2,1.8966522067785263E-2
2012,JPN,127148.44294082638,22218.193228700202,86.55,-4.3643102049827576E-2,-6.4060688018798828E-2,2.0417587831616402E-2
2013,JPN,126930.13582683333,22702.703762553305,105.3,0.72168129682540894,0.69368696212768555,2.7994364500045776E-2
2014,JPN,126717.809729662,22808.117851537882,120.64,0.10385403782129288,8.6553886532783508E-2,1.730014942586422E-2
2015,JPN,126576.25899821446,23189.978822702771,120.5,0.11165733635425568,9.5424629747867584E-2,1.6232704743742943E-2
2016,JPN,126558.31594774927,23367.994774838386,116.8,5.2000000141561031E-3,-1.6499999910593033E-2,2.1700000390410423E-2
2017,JPN,126344.993014441,23799.611471881875,112.9,0.21940000355243683,0.1940000057220459,2.5399999693036079E-2
2018,JPN,126094.78714406541,23980.041355502879,110.83,-0.15170000493526459,-0.16990000009536743,1.8200000748038292E-2
2019,JPN,125821.65404253986,24035.728455888438,109.12,0.18479999899864197,0.15600000321865082,2.8800001367926598E-2
2020,JPN,125450.83099959277,23001.358814399202,103.63,7.8299999237060547E-2,5.429999902844429E-2,2.4000000208616257E-2
1924,NLD,7264,4895.4949063876657,2.6171000000000002,1.8492687493562698E-2,,
